Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Provision for Loan Losses";"Net Revenue after Provisions";"Total Non-Interest Expense";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
COF;378103;USD;2018;Q3;2018-09-30;2018-11-01;2018-11-01;477800000;480900000;6962000000;-1268000000;5694000000;-3773000000;1921000000;;1921000000;-420000000;1501000000;1000000;1502000000;1440000000
COF;378103;USD;2018;Q4;2018-12-31;2019-02-20;2019-02-20;469800000;472400000;7013000000;-1638000000;5375000000;-4132000000;1243000000;;1243000000;21000000;1264000000;-3000000;1261000000;1172000000
COF;378103;USD;2019;Q1;2019-03-31;2019-05-01;2019-05-01;469400000;471600000;7083000000;-1693000000;5390000000;-3671000000;1719000000;;1719000000;-309000000;1410000000;2000000;1412000000;1348000000
DFS;378127;USD;2009;Q3;2009-09-30;2009-10-07;2010-10-06;504550000;507907000;1372609000;-380999000;991610000;-523838000;467772000;;939939000;-362485000;577454000;;577454000;552928000
DFS;378127;USD;2009;Q4;2009-12-31;2010-01-07;2012-01-26;504550000;507907000;1105572000;-399732000;705840000;-607499000;98341000;;570256000;-217719000;352537000;;352537000;329291000
DFS;378127;USD;2010;Q1;2010-03-31;2010-04-09;2011-04-08;543422000;543422000;1691302000;-1387206000;304096000;-474804000;-170708000;;-170708000;67170000;-103538000;;-103538000;-122233000
DFS;378127;USD;2010;Q2;2010-06-30;2010-07-07;2011-07-01;543875000;552060000;1660005000;-724264000;935741000;-513548000;422193000;;422193000;-164126000;258067000;;258067000;184590000
DFS;378127;USD;2010;Q3;2010-09-30;2010-10-06;2011-09-28;544314000;547082000;1710946000;-712565000;998381000;-566238000;432143000;;432143000;-171526000;260617000;;260617000;258194000
DFS;378127;USD;2010;Q4;2010-12-31;2011-01-26;2013-01-25;544389000;553436000;1595747000;-382965000;1212782000;-627410000;585372000;;585372000;-235518000;349854000;;349854000;347449000
DFS;378127;USD;2011;Q1;2011-03-31;2011-04-08;2012-04-04;545052000;545541000;1732860000;-417709000;1315151000;-595148000;720003000;;720003000;-255111000;464892000;;464892000;459428000
DFS;378127;USD;2011;Q2;2011-06-30;2011-07-01;2012-06-26;545504000;546160000;1737143000;-175540000;1561603000;-635144000;926459000;;926459000;-326040000;600419000;;600419000;593488000
DFS;378127;USD;2011;Q3;2011-09-30;2011-09-30;2012-10-04;544438000;545181000;1789002000;-99514000;1689488000;-642407000;1047081000;;1047081000;-398263000;648818000;;648818000;641772000
DFS;378127;USD;2011;Q4;2011-12-31;2012-01-26;2014-02-25;533006000;535118000;1805995000;-320237000;1485758000;-668301000;817457000;;817457000;-304586000;512871000;;512871000;507312000
DFS;378127;USD;2012;Q1;2012-03-31;2012-04-04;2013-04-30;530000000;531000000;1803000000;-84000000;1719000000;-672000000;1047000000;;1047000000;-397000000;650000000;;650000000;644000000
DFS;378127;USD;2012;Q2;2012-06-30;2012-06-30;2013-07-30;523000000;524000000;1859000000;-262000000;1597000000;-758000000;839000000;;846000000;-321000000;525000000;;525000000;520000000
DFS;378127;USD;2012;Q3;2012-09-30;2012-10-04;2013-11-01;510000000;511000000;1949000000;-136000000;1813000000;-841000000;972000000;;1028000000;-391000000;637000000;;637000000;631000000
DFS;378127;USD;2012;Q4;2012-12-31;2013-01-25;2015-02-25;513000000;514000000;1937000000;-366000000;1571000000;-781000000;790000000;;832000000;-299000000;533000000;;533000000;523000000
DFS;378127;USD;2013;Q1;2013-03-31;2013-04-30;2014-04-29;496000000;497000000;1941000000;-159000000;1782000000;-753000000;1029000000;;1080000000;-407000000;673000000;;673000000;659000000
DFS;378127;USD;2013;Q2;2013-06-30;2013-07-30;2014-08-01;489000000;490000000;1990000000;-240000000;1750000000;-820000000;930000000;;981000000;-379000000;602000000;;602000000;588000000
DFS;378127;USD;2013;Q3;2013-09-30;2013-11-01;2014-10-28;482000000;484000000;2037000000;-333000000;1704000000;-783000000;921000000;;946000000;-353000000;593000000;;593000000;579000000
DFS;378127;USD;2013;Q4;2013-12-31;2014-02-25;2016-02-24;473000000;477000000;2112000000;-354000000;1758000000;-838000000;920000000;;937000000;-335000000;602000000;;602000000;588000000
DFS;378127;USD;2014;Q1;2014-03-31;2014-04-29;2015-04-30;471000000;472000000;2062000000;-272000000;1790000000;-784000000;1006000000;;1022000000;-391000000;631000000;;631000000;618000000
DFS;378127;USD;2014;Q2;2014-06-30;2014-08-01;2015-07-29;466000000;467000000;2150000000;-360000000;1790000000;-797000000;993000000;;1015000000;-371000000;644000000;;644000000;630000000
DFS;378127;USD;2014;Q3;2014-09-30;2014-10-28;2015-10-29;460000000;461000000;2171000000;-354000000;1817000000;-827000000;990000000;;1009000000;-365000000;644000000;;644000000;630000000
DFS;378127;USD;2014;Q4;2014-12-31;2015-02-25;2017-02-23;451000000;452000000;2013000000;-457000000;1556000000;-932000000;624000000;;648000000;-244000000;404000000;;404000000;392000000
DFS;378127;USD;2015;Q1;2015-03-31;2015-04-30;2016-04-28;448000000;448000000;2131000000;-390000000;1741000000;-873000000;868000000;;908000000;-322000000;586000000;;586000000;573000000
DFS;378127;USD;2015;Q2;2015-06-30;2015-07-29;2016-08-02;441000000;442000000;2149000000;-306000000;1843000000;-927000000;916000000;;942000000;-343000000;599000000;;599000000;586000000
DFS;378127;USD;2015;Q3;2015-09-30;2015-10-29;2016-10-27;433000000;434000000;2186000000;-332000000;1854000000;-882000000;972000000;;974000000;-362000000;612000000;;612000000;599000000
DFS;378127;USD;2015;Q4;2015-12-31;2016-02-24;2017-02-23;426000000;428000000;2205000000;-484000000;1721000000;-933000000;788000000;;788000000;-288000000;500000000;;500000000;488000000
DFS;378127;USD;2016;Q1;2016-03-31;2016-04-28;2017-05-02;417000000;417000000;2224000000;-424000000;1800000000;-886000000;914000000;;914000000;-339000000;575000000;;575000000;562000000
DFS;378127;USD;2016;Q2;2016-06-30;2016-08-02;2016-08-02;410000000;411000000;2216000000;-412000000;1804000000;-906000000;898000000;;898000000;-282000000;616000000;;616000000;602000000
DFS;378127;USD;2016;Q3;2016-09-30;2016-10-27;2016-10-27;402000000;402000000;2301000000;-445000000;1856000000;-895000000;961000000;;961000000;-322000000;639000000;;639000000;625000000
DFS;378127;USD;2016;Q4;2016-12-31;2017-02-23;2017-02-23;391000000;394000000;2358000000;-578000000;1780000000;-897000000;883000000;;883000000;-320000000;563000000;;563000000;550000000
DFS;378127;USD;2017;Q1;2017-03-31;2017-05-02;2017-05-02;386000000;386000000;2339000000;-586000000;1753000000;-885000000;868000000;;868000000;-304000000;564000000;;564000000;551000000
DFS;378127;USD;2017;Q2;2017-06-30;2017-08-01;2017-08-01;379000000;379000000;2419000000;-640000000;1779000000;-912000000;867000000;;867000000;-321000000;546000000;;546000000;532000000
DFS;378127;USD;2017;Q3;2017-09-30;2017-11-02;2017-11-02;371000000;371000000;2525000000;-674000000;1851000000;-948000000;903000000;;903000000;-301000000;602000000;;602000000;589000000
DFS;378127;USD;2017;Q4;2017-12-31;2018-02-21;2018-02-21;360000000;360000000;2614000000;-679000000;1935000000;-1036000000;899000000;;899000000;-512000000;387000000;;387000000;359000000
DFS;378127;USD;2018;Q1;2018-03-31;2018-05-01;2018-05-01;355000000;355000000;2575000000;-751000000;1824000000;-968000000;856000000;;856000000;-190000000;666000000;;666000000;646000000
DFS;378127;USD;2018;Q2;2018-06-30;2018-08-01;2018-08-01;348000000;348000000;2603000000;-742000000;1861000000;-984000000;877000000;;877000000;-208000000;669000000;;669000000;663000000
DFS;378127;USD;2018;Q3;2018-09-30;2018-10-31;2018-10-31;341000000;342000000;2724000000;-742000000;1982000000;-1015000000;967000000;;967000000;-247000000;720000000;;720000000;699000000
DFS;378127;USD;2018;Q4;2018-12-31;2019-02-20;2019-02-20;332000000;335000000;2807000000;-800000000;2007000000;-1110000000;897000000;;897000000;-210000000;687000000;;687000000;734000000
DFS;378127;USD;2019;Q1;2019-03-31;2019-05-02;2019-05-02;328000000;328000000;2763000000;-809000000;1954000000;-1024000000;930000000;;930000000;-204000000;726000000;;726000000;726000000
EWBC;335579;USD;2010;Q4;2010-12-31;2011-02-08;2013-02-28;147125000;147299000;234964000;-29834000;205130000;-113743000;91387000;;85706000;-29357000;56349000;;56349000;32240000
EWBC;335579;USD;2011;Q1;2011-03-31;2011-05-09;2012-05-09;146837000;153334000;217948000;-26506000;191442000;-106789000;84653000;;86580000;-30509000;56071000;;56071000;54356000
EWBC;335579;USD;2011;Q2;2011-06-30;2011-08-08;2012-08-08;147011000;153347000;234832000;-26500000;208332000;-117597000;90735000;;95730000;-35205000;60525000;;60525000;58811000
EWBC;335579;USD;2011;Q3;2011-09-30;2011-11-09;2012-11-07;147162000;153453000;221312000;-22000000;199312000;-104552000;94760000;;97685000;-35253000;62432000;;62432000;60718000
EWBC;335579;USD;2011;Q4;2011-12-31;2012-02-29;2014-03-03;147362000;153734000;228441000;-20000000;208441000;-106672000;101769000;;103339000;-37133000;66206000;;66206000;64492000
EWBC;335579;USD;2012;Q1;2012-03-31;2012-05-09;2013-05-09;145347000;151996000;238862000;-18100000;220762000;-114763000;105999000;;107795000;-39712000;68083000;;68083000;66369000
EWBC;335579;USD;2012;Q2;2012-06-30;2012-08-08;2013-08-08;142107000;147786000;220902000;-15500000;205402000;-101608000;103794000;;104394000;-33837000;70557000;;70557000;68843000
EWBC;335579;USD;2012;Q3;2012-09-30;2012-11-07;2013-11-12;139621000;145358000;222454000;-18500000;203954000;-100956000;102998000;;105203000;-34093000;71110000;;71110000;69396000
EWBC;335579;USD;2012;Q4;2012-12-31;2013-02-28;2015-03-02;138753000;143560000;204821000;-13084000;191737000;-105206000;86531000;;108200000;-36300000;71900000;;71900000;70185000
EWBC;335579;USD;2013;Q1;2013-03-31;2013-05-09;2014-05-09;137648000;143519000;204856000;-4327000;200529000;-96355000;104174000;;106510000;-34419000;72091000;;72091000;70377000
EWBC;335579;USD;2013;Q2;2013-06-30;2013-08-08;2014-08-08;137536000;137816000;211413000;-9000000;202413000;-94420000;107993000;;111870000;-37855000;74015000;;74015000;72301000
EWBC;335579;USD;2013;Q3;2013-09-30;2013-11-12;2014-11-07;137036000;137467000;204274000;-3571000;200703000;-100352000;100351000;;108906000;-35749000;73157000;;73157000;73157000
EWBC;335579;USD;2013;Q4;2013-12-31;2014-03-03;2016-02-26;137148000;139494000;243182000;-5466000;237716000;-103088000;134628000;;119860000;-45799000;74061000;;74061000;74061000
EWBC;335579;USD;2014;Q1;2014-03-31;2014-05-09;2015-05-08;141962000;142632000;243050000;-6933000;236117000;-119954000;116163000;;116163000;-41992000;74171000;;74171000;74171000
EWBC;335579;USD;2014;Q2;2014-06-30;2014-08-08;2015-08-07;143187000;143689000;251505000;-8000000;243505000;-120539000;122966000;;122966000;-38661000;84305000;;84305000;84305000
EWBC;335579;USD;2014;Q3;2014-09-30;2014-11-07;2015-11-09;143210000;143810000;267316000;-15225000;252091000;-166792000;85299000;;85299000;6601000;91900000;;91900000;91900000
EWBC;335579;USD;2014;Q4;2014-12-31;2015-03-02;2016-02-26;143449000;144121000;267293000;-19000000;248293000;-125698000;122595000;;122595000;-27093000;95502000;;95502000;95502000
EWBC;335579;USD;2015;Q1;2015-03-31;2015-05-08;2016-05-06;143655000;144349000;279843000;-4987000;274856000;-128030000;146826000;;146826000;-46799000;100027000;;100027000;100027000
EWBC;335579;USD;2015;Q2;2015-06-30;2015-08-07;2016-08-05;143846000;144480000;268085000;-3494000;264591000;-120170000;144421000;;144421000;-45673000;98748000;;98748000;98748000
EWBC;335579;USD;2015;Q3;2015-09-30;2015-11-09;2015-11-09;143861000;144590000;294470000;-7736000;286734000;-147745000;138989000;;138989000;-44892000;94097000;;94097000;94097000
EWBC;335579;USD;2015;Q4;2015-12-31;2016-02-26;2016-02-26;143910000;144629000;291424000;2000000;293424000;-144939000;148485000;;148485000;-56680000;91805000;;91805000;91805000
EWBC;335579;USD;2016;Q1;2016-03-31;2016-05-06;2016-05-06;143958000;144803000;292717000;-1440000;291277000;-146606000;144671000;;144671000;-37155000;107516000;;107516000;107516000
EWBC;335579;USD;2016;Q2;2016-06-30;2016-08-05;2016-08-05;144101000;145078000;297848000;-6053000;291795000;-148879000;142916000;;142916000;-39632000;103284000;;103284000;103284000
EWBC;335579;USD;2016;Q3;2016-09-30;2016-11-04;2017-11-07;144122000;145238000;303003000;-9525000;293478000;-170500000;122978000;;123464000;-13321000;110143000;;110143000;110143000
EWBC;335579;USD;2016;Q4;2016-12-31;2017-02-27;2017-02-27;144167000;145569000;321988000;-10461000;311527000;-149904000;161623000;;161137000;-50403000;110734000;;110734000;110734000
EWBC;335579;USD;2017;Q1;2017-03-31;2017-05-09;2017-05-09;144249000;145732000;316138000;-7068000;309070000;-153073000;155997000;;228004000;-58268000;169736000;;169736000;169736000
EWBC;335579;USD;2017;Q2;2017-06-30;2017-08-08;2017-08-08;144485000;145740000;336449000;-10685000;325764000;-169121000;156643000;;157685000;-39355000;118330000;;118330000;118330000
EWBC;335579;USD;2017;Q3;2017-09-30;2017-11-07;2017-11-07;144498000;145882000;347929000;-12996000;334933000;-164499000;170434000;;175284000;-42624000;132660000;;132660000;132660000
EWBC;335579;USD;2017;Q4;2017-12-31;2018-02-27;2018-02-27;144544000;146298000;361764000;-15517000;346247000;-175416000;170831000;;174127000;-89229000;84898000;;84898000;84898000
EWBC;335579;USD;2018;Q1;2018-03-31;2018-05-08;2018-05-08;144664000;145939000;368581000;-20218000;348363000;-169135000;179228000;;211784000;-24752000;187032000;;187032000;187032000
EWBC;335579;USD;2018;Q2;2018-06-30;2018-08-07;2018-08-07;144899000;146091000;388833000;-15536000;373297000;-177419000;195878000;;196992000;-24643000;172349000;;172349000;172349000
EWBC;335579;USD;2018;Q3;2018-09-30;2018-11-07;2018-11-07;144921000;146173000;391820000;-10542000;381278000;-179815000;201463000;;204865000;-33563000;171302000;;171302000;171302000
EWBC;335579;USD;2018;Q4;2018-12-31;2019-02-27;2019-02-27;144964000;146473000;410030000;-17959000;392071000;-188097000;203974000;;205055000;-32037000;173018000;;173018000;173018000
EWBC;335579;USD;2019;Q1;2019-03-31;2019-05-08;2019-05-08;145256000;145921000;404592000;-22579000;382013000;-186922000;195091000;;195091000;-31067000;164024000;;164024000;164024000
FHB;210774;USD;2016;Q2;2016-06-30;2016-09-09;2017-08-10;139459620;139459620;166798000;-1900000;164898000;-78473000;86425000;;86425000;-31565000;54860000;;54860000;54860000
FHB;210774;USD;2016;Q3;2016-09-30;2016-11-10;2017-10-27;139500542;139503558;171373000;-2100000;169273000;-82804000;86469000;;86469000;-33234000;53235000;;53235000;53235000
FHB;210774;USD;2016;Q4;2016-12-31;2017-03-15;2019-02-28;139531266;139547634;188707000;-3900000;184807000;-90939000;93868000;;93868000;-37316000;56552000;;56552000;56552000
FHB;210774;USD;2017;Q1;2017-03-31;2017-04-28;2018-04-27;139545728;139637410;180404000;-4500000;175904000;-85991000;89913000;;89913000;-33173000;56740000;;56740000;56740000
FHB;210774;USD;2017;Q2;2017-06-30;2017-08-10;2018-07-27;139546615;139646117;181812000;-4400000;177412000;-86929000;90483000;;90483000;-33588000;56895000;;56895000;56895000
FHB;210774;USD;2017;Q3;2017-09-30;2017-10-27;2018-10-26;139556532;139696330;182983000;-4500000;178483000;-84784000;93699000;;93699000;-35336000;58363000;;58363000;58363000
FHB;210774;USD;2017;Q4;2017-12-31;2018-02-28;2019-02-28;139592345;139648115;189210000;-5100000;184110000;-89850000;94260000;;94260000;-82576000;11684000;;11684000;11684000
FHB;210774;USD;2018;Q1;2018-03-31;2018-04-27;2019-04-26;139600712;139732100;188372000;-5950000;182422000;-90587000;91835000;;91835000;-23877000;67958000;;67958000;67958000
FHB;210774;USD;2018;Q2;2018-06-30;2018-07-27;2018-07-27;137907063;138065879;191200000;-6020000;185180000;-91865000;93315000;;93315000;-24262000;69053000;;69053000;69053000
FHB;210774;USD;2018;Q3;2018-09-30;2018-10-26;2018-10-26;135466669;135675498;188663000;-4460000;184203000;-93147000;91056000;;91056000;-23668000;67388000;;67388000;67388000
FHB;210774;USD;2018;Q4;2018-12-31;2019-02-28;2019-02-28;134806092;134972203;177076000;-5750000;171326000;-89354000;81972000;;81972000;-21977000;59995000;;59995000;59995000
FHB;210774;USD;2019;Q1;2019-03-31;2019-04-26;2019-04-26;134879336;135198345;192161000;-5680000;186481000;-92623000;93858000;;93858000;-23934000;69924000;;69924000;69924000
FITB;378145;USD;2008;Q3;2008-09-30;2008-11-06;2009-11-06;553000000;553000000;1780000000;-941000000;839000000;-967000000;-128000000;;-128000000;72000000;-56000000;;-56000000;-81000000
FITB;378145;USD;2008;Q4;2008-12-31;2009-02-06;2011-02-28;553000000;553000000;1535000000;-2357000000;-822000000;-1056000000;-1878000000;;-2843000000;701000000;-2142000000;;-2142000000;-2183000000
FITB;378145;USD;2009;Q1;2009-03-31;2009-05-07;2010-05-07;572000000;670000000;1473000000;-773000000;700000000;-962000000;-262000000;;-262000000;312000000;50000000;;50000000;-26000000
FITB;378145;USD;2009;Q2;2009-06-30;2009-08-06;2010-08-09;630000000;718000000;1650000000;-1041000000;609000000;-1021000000;-412000000;;1352000000;-470000000;882000000;;882000000;856000000
FITB;378145;USD;2009;Q3;2009-09-30;2009-11-06;2010-11-08;790000000;790000000;1726000000;-952000000;774000000;-876000000;-102000000;;-108000000;11000000;-97000000;;-97000000;-159000000
FITB;378145;USD;2009;Q4;2009-12-31;2010-02-06;2012-02-29;789000000;687000000;1529000000;-777000000;752000000;-967000000;-215000000;;-215000000;117000000;-98000000;;-98000000;-160000000
FITB;378145;USD;2010;Q1;2010-03-31;2010-05-07;2011-05-09;790000000;790000000;1524000000;-590000000;934000000;-956000000;-22000000;;-22000000;12000000;-10000000;;-10000000;-72000000
FITB;378145;USD;2010;Q2;2010-06-30;2010-08-09;2011-08-05;791000000;802000000;1502000000;-325000000;1177000000;-935000000;242000000;;242000000;-50000000;192000000;;192000000;130000000
FITB;378145;USD;2010;Q3;2010-09-30;2010-11-08;2011-11-09;791000000;6000000;1739000000;-457000000;1282000000;-979000000;303000000;;303000000;-65000000;238000000;;238000000;175000000
FITB;378145;USD;2010;Q4;2010-12-31;2011-02-28;2013-02-22;791408740;1599524612;1568000000;-166000000;1402000000;-985000000;417000000;;417000000;-84000000;333000000;;333000000;270000000
FITB;378145;USD;2011;Q1;2011-03-31;2011-05-09;2012-05-10;880829800;894841321;1463000000;-168000000;1295000000;-918000000;377000000;;377000000;-112000000;265000000;;265000000;88000000
FITB;378145;USD;2011;Q2;2011-06-30;2011-08-05;2012-08-08;914600600;955477616;1520000000;-113000000;1407000000;-901000000;506000000;;506000000;-169000000;337000000;;337000000;328000000
FITB;378145;USD;2011;Q3;2011-09-30;2011-11-09;2012-11-07;914946545;955490439;1563000000;-87000000;1476000000;-946000000;530000000;;530000000;-149000000;381000000;;381000000;373000000
FITB;378145;USD;2011;Q4;2011-12-31;2012-02-29;2014-02-24;915465255;992372304;1466000000;-55000000;1411000000;-993000000;418000000;;418000000;-103000000;315000000;;314000000;305000000
FITB;378145;USD;2012;Q1;2012-03-31;2012-05-10;2013-05-09;915225816;957415527;1667000000;-91000000;1576000000;-973000000;603000000;;603000000;-173000000;430000000;;430000000;421000000
FITB;378145;USD;2012;Q2;2012-06-30;2012-08-08;2013-08-07;913540510;954622463;1573000000;-71000000;1502000000;-937000000;565000000;;565000000;-180000000;385000000;;385000000;376000000
FITB;378145;USD;2012;Q3;2012-09-30;2012-11-07;2013-11-06;904474989;944820608;1574000000;-65000000;1509000000;-1006000000;503000000;;503000000;-139000000;364000000;;363000000;354000000
FITB;378145;USD;2012;Q4;2012-12-31;2013-02-22;2015-02-25;884459589;925357810;1780000000;-76000000;1704000000;-1165000000;539000000;;539000000;-144000000;395000000;;398000000;390000000
FITB;378145;USD;2013;Q1;2013-03-31;2013-05-09;2014-05-08;870923074;913163262;1631000000;-62000000;1569000000;-978000000;591000000;;591000000;-179000000;412000000;;422000000;413000000
FITB;378145;USD;2013;Q2;2013-06-30;2013-08-07;2014-08-07;858582710;900625454;1940000000;-64000000;1876000000;-1035000000;841000000;;841000000;-250000000;591000000;;591000000;582000000
FITB;378145;USD;2013;Q3;2013-09-30;2013-11-06;2014-11-07;880182513;888111269;1614000000;-51000000;1563000000;-959000000;604000000;;604000000;-183000000;421000000;;421000000;421000000
FITB;378145;USD;2013;Q4;2013-12-31;2014-02-24;2016-02-25;868163611;877045795;1603000000;-52000000;1551000000;-989000000;562000000;;562000000;-160000000;402000000;;402000000;383000000
FITB;378145;USD;2014;Q1;2014-03-31;2014-05-08;2015-05-11;845860065;857923596;1457000000;-69000000;1388000000;-950000000;438000000;;438000000;-119000000;319000000;;318000000;309000000
FITB;378145;USD;2014;Q2;2014-06-30;2014-08-07;2015-08-05;838492046;848245111;1636000000;-76000000;1560000000;-954000000;606000000;;606000000;-167000000;439000000;;439000000;416000000
FITB;378145;USD;2014;Q3;2014-09-30;2014-11-07;2015-11-05;829391505;838324420;1423000000;-71000000;1352000000;-888000000;464000000;;464000000;-124000000;340000000;;340000000;328000000
FITB;378145;USD;2014;Q4;2014-12-31;2015-02-25;2017-02-24;818721780;827376297;1536000000;-99000000;1437000000;-917000000;520000000;;520000000;-135000000;385000000;;384000000;361000000
FITB;378145;USD;2015;Q1;2015-03-31;2015-05-11;2016-05-06;810209585;818672259;1477000000;-69000000;1408000000;-923000000;485000000;;485000000;-124000000;361000000;;361000000;346000000
FITB;378145;USD;2015;Q2;2015-06-30;2015-08-05;2016-08-05;803965057;812842540;1443000000;-79000000;1364000000;-947000000;417000000;;417000000;-108000000;309000000;;315000000;292000000
FITB;378145;USD;2015;Q3;2015-09-30;2015-11-05;2016-11-09;795792825;805022588;1614000000;-156000000;1458000000;-943000000;515000000;;515000000;-134000000;381000000;;381000000;366000000
FITB;378145;USD;2015;Q4;2015-12-31;2016-02-25;2017-02-24;784545225;794097289;2002000000;-92000000;1910000000;-962000000;948000000;;948000000;-293000000;655000000;;655000000;633000000
FITB;378145;USD;2016;Q1;2016-03-31;2016-05-06;2017-05-05;773564178;777757934;1540000000;-119000000;1421000000;-986000000;435000000;;435000000;-109000000;326000000;;326000000;311000000
FITB;378145;USD;2016;Q2;2016-06-30;2016-08-05;2017-08-08;759105385;764811003;1501000000;-91000000;1410000000;-983000000;427000000;;427000000;-103000000;324000000;;328000000;305000000
FITB;378145;USD;2016;Q3;2016-09-30;2016-11-09;2017-11-06;750885834;757855877;1747000000;-80000000;1667000000;-973000000;694000000;;694000000;-178000000;516000000;;516000000;501000000
FITB;378145;USD;2016;Q4;2016-12-31;2017-02-24;2017-02-24;746173767;757556598;1523000000;-53000000;1470000000;-961000000;509000000;;509000000;-115000000;394000000;;394000000;372000000
FITB;378145;USD;2017;Q1;2017-03-31;2017-05-05;2017-05-05;747667521;760809239;1456000000;-74000000;1382000000;-986000000;396000000;;396000000;-91000000;305000000;;305000000;290000000
FITB;378145;USD;2017;Q2;2017-06-30;2017-08-08;2017-08-08;741400700;752328298;1503000000;-52000000;1451000000;-957000000;494000000;;494000000;-127000000;367000000;;367000000;344000000
FITB;378145;USD;2017;Q3;2017-09-30;2017-11-06;2017-11-06;721280389;733284502;2531000000;-67000000;2464000000;-975000000;1489000000;;1489000000;-475000000;1014000000;;1014000000;999000000
FITB;378145;USD;2017;Q4;2017-12-31;2018-02-28;2018-02-28;702808190;716343693;1532000000;-68000000;1464000000;-1072000000;392000000;;392000000;116000000;508000000;;508000000;486000000
FITB;378145;USD;2018;Q1;2018-03-31;2018-05-04;2018-05-04;689820295;704100936;1905000000;-23000000;1882000000;-1046000000;836000000;;836000000;-132000000;704000000;;704000000;689000000
FITB;378145;USD;2018;Q2;2018-06-30;2018-08-08;2018-08-08;683344844;696209943;1763000000;-33000000;1730000000;-1037000000;693000000;;693000000;-107000000;586000000;;586000000;563000000
FITB;378145;USD;2018;Q3;2018-09-30;2018-11-06;2018-11-06;667624132;679198715;1606000000;-86000000;1520000000;-1008000000;512000000;;512000000;-79000000;433000000;;433000000;418000000
FITB;378145;USD;2018;Q4;2018-12-31;2019-03-01;2019-03-01;652595401;662444398;1656000000;-95000000;1561000000;-837000000;724000000;;724000000;-254000000;470000000;;470000000;448000000
FITB;378145;USD;2019;Q1;2019-03-31;2019-05-10;2019-05-10;661057120;670685025;2183000000;-90000000;2093000000;-1097000000;996000000;;996000000;-221000000;775000000;;775000000;760000000
FMAO;939566;USD;2018;Q4;2018-12-31;2019-02-27;2019-02-27;9191531;9191531;12951000;-105000;12846000;-8817000;4029000;;4029000;-836000;3193000;;3193000;3193000
FMAO;939566;USD;2019;Q1;2019-03-31;2019-05-01;2019-05-01;11006422;11006422;15472000;-30000;15442000;-11511000;3931000;;3931000;-707000;3224000;;3224000;3224000
FMBH;743187;USD;2011;Q2;2011-06-30;2011-08-07;2012-08-09;6058859;6071581;15938000;-916000;15022000;-11011000;4011000;;4011000;-1433000;2578000;;2578000;1567000
FMBH;743187;USD;2011;Q3;2011-09-30;2011-11-09;2012-11-08;6023521;6035418;15842000;-728000;15114000;-10864000;4250000;;4250000;-1571000;2679000;;2679000;1760000
FMBH;743187;USD;2011;Q4;2011-12-31;2012-02-07;2014-03-06;6013617;6025012;16565000;-517000;16048000;-10886000;5162000;;5162000;-1892000;3270000;;3270000;2331000
FMBH;743187;USD;2012;Q1;2012-03-31;2012-05-08;2013-05-07;6019858;6028477;16633000;-615000;16018000;-10617000;5401000;;5401000;-2011000;3390000;;3390000;2451000
FMBH;743187;USD;2012;Q2;2012-06-30;2012-08-09;2013-08-12;6025802;6035041;16755000;-416000;16339000;-10782000;5557000;;5557000;-2078000;3479000;;3479000;2374000
FMBH;743187;USD;2012;Q3;2012-09-30;2012-11-08;2013-11-07;6030053;6041142;17133000;-720000;16413000;-10562000;5851000;;5851000;-2204000;3647000;;3647000;2543000
FMBH;743187;USD;2012;Q4;2012-12-31;2013-03-07;2015-03-05;6017443;6006852;17399000;-896000;16503000;-10877000;5626000;;5626000;-2117000;3509000;;3509000;2405000
FMBH;743187;USD;2013;Q1;2013-03-31;2013-05-07;2014-05-07;5955284;5966583;16754000;-480000;16274000;-10612000;5662000;;5662000;-2134000;3528000;;3528000;2424000
FMBH;743187;USD;2013;Q2;2013-06-30;2013-08-07;2014-08-07;5951981;5962126;17055000;-252000;16803000;-10918000;5885000;;5885000;-2220000;3665000;;3665000;2560000
FMBH;743187;USD;2013;Q3;2013-09-30;2013-11-07;2014-11-07;5935383;5946863;18319000;-975000;17344000;-11082000;6262000;;6262000;-2352000;3910000;;3910000;2806000
FMBH;743187;USD;2013;Q4;2013-12-31;2014-03-06;2016-03-04;5895864;5904036;17137000;-486000;16651000;-10892000;5759000;;5759000;-2140000;3619000;;3619000;2515000
FMBH;743187;USD;2014;Q1;2014-03-31;2014-05-07;2015-05-11;5883340;5891357;17028000;-323000;16705000;-10960000;5745000;;5745000;-2138000;3607000;;3607000;2503000
FMBH;743187;USD;2014;Q2;2014-06-30;2014-08-07;2015-08-07;5880919;8384989;17802000;-128000;17674000;-11214000;6460000;;6460000;-2431000;4029000;;4029000;2925000
FMBH;743187;USD;2014;Q3;2014-09-30;2014-11-07;2015-12-17;5881681;8386142;17404000;-44000;17360000;-11090000;6270000;;6270000;-2355000;3915000;;3915000;2810000
FMBH;743187;USD;2014;Q4;2014-12-31;2015-03-05;2017-03-06;6365124;10824260;17617000;-134000;17483000;-11243000;6240000;;6240000;-2330000;3910000;;3910000;3071000
